player,position,team,age,games played,minutes per game,% of game,% of team plays,turnover per possession,attempted free throws,free throw %,2-point shots attempted,2-point field goal %,3-point shots attempted,3-point shot field goal %,true shooting %,points per game,rebounds per game,total rebound %,assists per game,assist %,steals per game,blocks per game,versatility index
Dirk Nowitzki,power forward,Dal,36,5,36.2,75.4,24.1,0.094,28,0.929,67,0.507,17,0.235,0.55,21.2,10.2,14.5,2.4,10.1,0.4,0.4,8.9
Draymond Green,small forward,Gol,24,21,37.3,77.7,19.2,0.172,87,0.736,149,0.51,91,0.264,0.517,13.7,10.1,14.7,5.2,21.2,1.81,1.19,9.6
Drew Gooden,power forward,Was,33,10,17.8,37.1,20.1,0.173,13,0.769,35,0.314,26,0.462,0.51,6.8,5.5,16.8,0.8,7,0.2,1,7
Dwight Howard,center,Hou,29,17,33.8,70.4,21.3,0.13,165,0.412,182,0.577,0,0,0.546,16.4,14,21.5,1.2,5.9,1.35,2.29,7.7
Earl Clark,power forward,Bro,27,2,6.5,13.5,35.4,0,0,0,7,0,3,0.667,0.3,3,1,8.4,0,0,0.5,0,0
Eric Gordon,shooting guard,Nor,26,4,35.8,74.7,24.4,0.13,6,0.833,32,0.469,32,0.406,0.555,18.5,2.5,3.9,3.8,18.2,0.5,0.5,6.3
Ersan Ilyasova,power forward,Mil,27,6,23.7,49.4,22.3,0.071,10,0.7,38,0.395,23,0.217,0.398,8.7,3.8,8.6,0.5,3.9,0.83,0.5,4.3
Evan Turner,shooting guard,Bos,26,4,29.5,61.4,21.6,0.158,9,0.889,40,0.35,4,0.5,0.438,10.5,7.3,13.5,4.8,27.4,0.75,0,9.7
Festus Ezeli,center,Gol,25,20,9.2,19.1,18.3,0.161,29,0.552,50,0.54,0,0,0.558,3.5,3.1,18.4,0.3,5.1,0.05,0.5,6.4
Garrett Temple,shooting guard,Was,28,4,6.6,13.7,21.2,0.24,8,0.625,3,0.333,3,0,0.368,1.8,0.8,6.2,0.3,5.2,0.5,0,4.6
